#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
12             18     -0.0529306        0.27581    0.000126707     0.00745533
12             19      0.0595713       0.277443   -0.000273486     0.00705914
12             20       0.054942       0.281603   -3.59919e-05      0.0077159
12             21     -0.0663956       0.280947    0.000276293     0.00710831
12             22      0.0715719       0.268818     0.00010081     0.00720384
12             23     -0.0417507       0.280092    0.000393488     0.00689761
12             24     -0.0529684       0.282492    -0.00011626     0.00885483
12             25      0.0534313       0.269104     0.00044381     0.00773609
12             26     -0.0472227       0.282203    0.000456692     0.00687364
12             27      0.0490542       0.278973    -0.00029109     0.00764231
12             28      0.0517385       0.267973    0.000168835     0.00712335
12             29     -0.0694774       0.275093   -0.000109737      0.0073769
12             30      0.0547078       0.280991    0.000298461     0.00714119
12             31     -0.0353599       0.282182   -3.06002e-05      0.0086088

13              0       0.618207       0.337972       0.011572      0.0687366
13              1      -0.686983       0.298766      0.0202868      0.0695956
13              2       0.645532       0.336698      0.0147912      0.0668208
13              3      -0.613568       0.338958      0.0145578      0.0703131
13              4      -0.625102       0.340846      0.0117529       0.069325
13              5       0.628786       0.341035      0.0118333      0.0683398
13              6       -0.62819       0.325733      0.0101548      0.0689828
13              7       0.616854       0.336045     0.00930114      0.0685816
13              8       0.624152       0.338685      0.0136072      0.0698166
13              9      -0.707059       0.282534       0.024156      0.0682635
13             10       0.638068       0.322909      0.0168091      0.0707274
13             11      -0.593013       0.354764       0.012893      0.0687583
13             12      -0.686827       0.321773       0.024545      0.0697902
13             13              1              0      0.0697949      0.0713533
13             14      -0.713929       0.262974      0.0242919       0.067789
13             15       0.654713       0.310873       0.020366      0.0690195
13             16      0.0644954        0.27779    1.41894e-05      0.0078643
13             17      -0.086661       0.272313   -0.000254383     0.00782661
13             18      0.0568786       0.276171    8.87784e-05     0.00724335
13             19     -0.0810634       0.278316   -0.000275096     0.00743899
13             20     -0.0672297        0.28347    0.000307039     0.00843979
13             21        0.07199        0.28051     0.00038886     0.00749075
13             22     -0.0821655       0.264215   -6.58738e-05      0.0074104
13             23       0.066927       0.272846    6.09626e-05     0.00708828
13             24      0.0728421       0.274192    -0.00037747     0.00894951
13             25     -0.0582003       0.268403    0.000185844     0.00757213
13             26      0.0592058       0.278186     0.00038469     0.00712057
13             27     -0.0670689       0.280007   -0.000183561     0.00747516
13             28     -0.0688583       0.273802    0.000431894     0.00725358
13             29      0.0874986       0.270389   -0.000618141     0.00715403
13             30     -0.0647061       0.276206   -0.000202054     0.00771925
13             31      0.0579502       0.275762   -3.13707e-05     0.00826494

14              0      -0.601267       0.360737      0.0147109      0.0672074
14              1       0.637831       0.307835      0.0123033      0.0683073
14              2      -0.702942       0.272894       0.021901      0.0677134
14              3        0.63926       0.322722      0.0166724      0.0685404
14              4       0.616682       0.335094      0.0106616      0.0700764
14              5      -0.630955       0.339524      0.0109252      0.0693685
14              6       0.667574       0.309075      0.0167124      0.0705412
14              7      -0.633585       0.320495      0.0125975      0.0678757
14              8      -0.621415       0.337217      0.0171427      0.0677867
14              9       0.650319       0.317893      0.0175311      0.0688199
14             10      -0.707497       0.276404      0.0244847      0.0696288
14             11       0.632732       0.316032       0.017885      0.0671448
14             12       0.637524       0.338509      0.0214622      0.0703294
14             13      -0.713929       0.262974      0.0242919       0.067789
14             14              1              0      0.0683324      0.0696095
14             15      -0.717129       0.281412      0.0285804      0.0699768
14             16     -0.0815198       0.272847    0.000231252     0.00709588
14             17      0.0938495       0.271435   -0.000296305     0.00803018
14             18     -0.0736241        0.27238   -0.000209643     0.00733693
14             19      0.0950355       0.276178   -0.000393291     0.00747502
14             20      0.0770985       0.276417    8.60486e-05     0.00800381
14             21     -0.0886651       0.272864    0.000362327     0.00696973
14             22      0.0962052        0.27078    -0.00010734     0.00738851
14             23     -0.0743664       0.273028   -6.16516e-05     0.00698395
14             24      -0.075475        0.27139   -4.43736e-05     0.00871026
14             25      0.0697963       0.265509    0.000444377     0.00753948
14             26     -0.0645578       0.274175    0.000334566     0.00657908
14             27      0.0680599        0.26682   -0.000147544     0.00715805
14             28      0.0888313       0.270323    0.000314215     0.00758255
14             29     -0.0962935       0.276383   -0.000291264     0.00733745
14             30      0.0734067       0.277443   -0.000514495     0.00716708
14             31     -0.0693759       0.278501    0.000177031         0.0084

15              0        0.63889        0.33173      0.0177629      0.0662324
